Wave_Number,Distance_Route,Chemins,Orders_Number,Order_ID,Status
32,81.0,"[[0, 0, 0], [19.5, 0, 0], [19.5, 21.0, 1], [19.5, 0, 0], [0, 0, 0]]",1,[3780125],0
33,105.5,"[[0, 0, 0], [37.75, 0, 0], [37.75, 15.0, 1], [37.75, 0, 0], [0, 0, 0]]",1,[3780114],0
34,116.5,"[[0, 0, 0], [35.75, 0, 0], [35.75, 22.5, 1], [35.75, 0, 0], [0, 0, 0]]",1,[3780084],0
35,130.0,"[[0, 0, 0], [45.5, 0, 0], [45.5, 19.5, 1], [45.5, 0, 0], [0, 0, 0]]",1,[3780087],0
36,81.0,"[[0, 0, 0], [19.5, 0, 0], [19.5, 21.0, 1], [19.5, 0, 0], [0, 0, 0]]",1,[3780060],0
37,66.0,"[[0, 0, 0], [24, 0, 0], [24, 9.0, 1], [24, 0, 0], [0, 0, 0]]",1,[3780007],0
38,107.0,"[[0, 0, 0], [32.5, 0, 0], [32.5, 21.0, 1], [32.5, 0, 0], [0, 0, 0]]",1,[3779985],0
39,95.0,"[[0, 0, 0], [32.5, 0, 0], [32.5, 15.0, 1], [32.5, 0, 0], [0, 0, 0]]",1,[3779972],0
40,125.5,"[[0, 0, 0], [19.5, 0, 0], [19.5, 21.0, 1], [19.5, 25, 0], [37.75, 25, 0], [37.75, 21.0, 1], [37.75, 0, 0], [0, 0, 0]]",1,[3779923],0
41,96.0,"[[0, 0, 0], [39.0, 0, 0], [39.0, 9.0, 1], [39.0, 0, 0], [0, 0, 0]]",1,[3779930],0
42,81.0,"[[0, 0, 0], [19.5, 0, 0], [19.5, 21.0, 1], [19.5, 0, 0], [0, 0, 0]]",1,[3779887],0
43,81.0,"[[0, 0, 0], [19.5, 0, 0], [19.5, 21.0, 1], [19.5, 0, 0], [0, 0, 0]]",1,[3781799],0
44,107.0,"[[0, 0, 0], [47.5, 0, 0], [47.5, 6.0, 1], [47.5, 0, 0], [0, 0, 0]]",1,[3781789],0
45,102.0,"[[0, 0, 0], [34.5, 0, 0], [34.5, 16.5, 1], [34.5, 0, 0], [0, 0, 0]]",1,[3781784],0
46,112.0,"[[0, 0, 0], [41.0, 0, 0], [41.0, 15.0, 1], [41.0, 0, 0], [0, 0, 0]]",1,[3781780],0
47,69.0,"[[0, 0, 0], [24, 0, 0], [24, 10.5, 1], [24, 0, 0], [0, 0, 0]]",1,[3781778],0
48,125.5,"[[0, 0, 0], [22.75, 0, 0], [22.75, 12.0, 1], [22.75, 25, 0], [37.75, 25, 0], [37.75, 13.5, 1], [37.75, 0, 0], [0, 0, 0]]",1,[3781765],0
49,59.5,"[[0, 0, 0], [20.75, 0, 0], [20.75, 9.0, 1], [20.75, 0, 0], [0, 0, 0]]",1,[3781763],0
50,112.0,"[[0, 0, 0], [41.0, 0, 0], [41.0, 15.0, 1], [41.0, 0, 0], [0, 0, 0]]",1,[3781737],0
51,119.0,"[[0, 0, 0], [31.25, 0, 0], [31.25, 13.5, 1], [31.25, 25, 0], [34.5, 25, 0], [34.5, 15.0, 1], [34.5, 15.0, 1], [34.5, 0, 0], [0, 0, 0]]",1,[3781730],0
52,118.0,"[[0, 0, 0], [41.0, 0, 0], [41.0, 18.0, 1], [41.0, 0, 0], [0, 0, 0]]",1,[3781722],0
53,81.0,"[[0, 0, 0], [24, 0, 0], [24, 16.5, 1], [24, 0, 0], [0, 0, 0]]",1,[3781708],0
54,72.5,"[[0, 0, 0], [22.75, 0, 0], [22.75, 13.5, 1], [22.75, 0, 0], [0, 0, 0]]",1,[3781698],0
55,84.0,"[[0, 0, 0], [24, 0, 0], [24, 18.0, 1], [24, 0, 0], [0, 0, 0]]",1,[3781699],0
56,108.5,"[[0, 0, 0], [42.25, 0, 0], [42.25, 12.0, 1], [42.25, 0, 0], [0, 0, 0]]",1,[3781691],0
57,74.5,"[[0, 0, 0], [20.75, 0, 0], [20.75, 16.5, 1], [20.75, 0, 0], [0, 0, 0]]",1,[3781687],0
58,87.0,"[[0, 0, 0], [34.5, 0, 0], [34.5, 9.0, 1], [34.5, 0, 0], [0, 0, 0]]",1,[3781682],0
59,118.0,"[[0, 0, 0], [45.5, 0, 0], [45.5, 13.5, 1], [45.5, 0, 0], [0, 0, 0]]",1,[3781680],0
60,87.0,"[[0, 0, 0], [24, 0, 0], [24, 19.5, 1], [24, 0, 0], [0, 0, 0]]",1,[3781681],0
61,118.5,"[[0, 0, 0], [44.25, 0, 0], [44.25, 15.0, 1], [44.25, 0, 0], [0, 0, 0]]",1,[3781669],0
62,82.0,"[[0, 0, 0], [26, 0, 0], [26, 15.0, 1], [26, 0, 0], [0, 0, 0]]",1,[3781657],0
63,107.0,"[[0, 0, 0], [32.5, 0, 0], [32.5, 21.0, 1], [32.5, 0, 0], [0, 0, 0]]",1,[3781560],0
64,90.0,"[[0, 0, 0], [34.5, 0, 0], [34.5, 10.5, 1], [34.5, 0, 0], [0, 0, 0]]",1,[3781548],0
65,72.5,"[[0, 0, 0], [22.75, 0, 0], [22.75, 13.5, 1], [22.75, 0, 0], [0, 0, 0]]",1,[3781509],0
66,65.5,"[[0, 0, 0], [20.75, 0, 0], [20.75, 12.0, 1], [20.75, 0, 0], [0, 0, 0]]",1,[3781499],0
67,124.0,"[[0, 0, 0], [45.5, 0, 0], [45.5, 16.5, 1], [45.5, 0, 0], [0, 0, 0]]",1,[3781490],0
68,93.0,"[[0, 0, 0], [34.5, 0, 0], [34.5, 12.0, 1], [34.5, 0, 0], [0, 0, 0]]",1,[3781488],0
0,136.0,"[[0, 0, 0], [19.5, 0, 0], [19.5, 21.0, 1], [19.5, 25, 0], [20.75, 25, 0], [20.75, 21.0, 1], [20.75, 25, 0], [39.0, 25, 0], [39.0, 9.0, 1], [39.0, 0, 0], [0, 0, 0]]",2,[3780678 3780621],1
1,266.0,"[[0, 0, 0], [15.25, 0, 0], [15.25, 21.0, 1], [15.25, 25, 0], [19.5, 25, 0], [19.5, 21.0, 1], [19.5, 19.5, 1], [19.5, 25, 0], [22.75, 25, 0], [22.75, 15.0, 1], [22.75, 25, 0], [31.25, 25, 0], [31.25, 16.5, 1], [31.25, 16.5, 1], [31.25, 16.5, 1], [31.25, 25, 0], [44.25, 25, 0], [44.25, 22.5, 1], [44.25, 25, 0], [45.5, 25, 0], [45.5, 13.5, 1], [45.5, 25, 0], [39.0, 25, 0], [39.0, 12.0, 1], [39.0, 25, 0], [35.75, 25, 0], [35.75, 13.5, 1], [35.75, 25, 0], [34.5, 25, 0], [34.5, 12.0, 1], [34.5, 0, 0], [0, 0, 0]]",2,[3780559 3780497],1
2,141.0,"[[0, 0, 0], [19.5, 0, 0], [19.5, 21.0, 1], [19.5, 21.0, 1], [19.5, 25, 0], [45.5, 25, 0], [45.5, 22.5, 1], [45.5, 13.5, 1], [45.5, 0, 0], [0, 0, 0]]",2,[3780482 3780450],1
3,175.5,"[[0, 0, 0], [19.5, 0, 0], [19.5, 21.0, 1], [19.5, 25, 0], [26, 25, 0], [26, 21.0, 1], [26, 25, 0], [37.75, 25, 0], [37.75, 10.5, 1], [37.75, 25, 0], [44.25, 25, 0], [44.25, 16.5, 1], [44.25, 0, 0], [0, 0, 0]]",2,[3780122 3780080],1
4,181.0,"[[0, 0, 0], [20.75, 0, 0], [20.75, 9.0, 1], [20.75, 25, 0], [19.5, 25, 0], [19.5, 21.0, 1], [19.5, 25, 0], [24, 25, 0], [24, 21.0, 1], [24, 9.0, 1], [24, 25, 0], [44.25, 25, 0], [44.25, 16.5, 1], [44.25, 0, 0], [0, 0, 0]]",2,[3780069 3781521],1
5,135.0,"[[0, 0, 0], [24, 0, 0], [24, 18.0, 1], [24, 25, 0], [26, 25, 0], [26, 21.0, 1], [26, 19.5, 1], [26, 25, 0], [32.5, 25, 0], [32.5, 22.5, 1], [32.5, 25, 0], [34.5, 25, 0], [34.5, 13.5, 1], [34.5, 0, 0], [0, 0, 0]]",2,[3781517 3780650],1
6,112.5,"[[0, 0, 0], [19.5, 0, 0], [19.5, 21.0, 1], [19.5, 25, 0], [31.25, 25, 0], [31.25, 10.5, 1], [31.25, 0, 0], [0, 0, 0]]",2,[3780649 3780645],0
7,145.0,"[[0, 0, 0], [44.25, 0, 0], [44.25, 12.0, 1], [44.25, 25, 0], [47.5, 25, 0], [47.5, 18.0, 1], [47.5, 0, 0], [0, 0, 0]]",2,[3780638 3780641],0
8,127.5,"[[0, 0, 0], [42.25, 0, 0], [42.25, 9.0, 1], [42.25, 0, 0], [44.25, 0, 0], [44.25, 10.5, 1], [44.25, 0, 0], [0, 0, 0]]",2,[3780633 3780618],0
9,115.0,"[[0, 0, 0], [31.25, 0, 0], [31.25, 16.5, 1], [31.25, 25, 0], [32.5, 25, 0], [32.5, 21.0, 1], [32.5, 0, 0], [0, 0, 0]]",2,[3780596 3780592],0
10,146.5,"[[0, 0, 0], [22.75, 0, 0], [22.75, 15.0, 1], [22.75, 25, 0], [19.5, 25, 0], [19.5, 21.0, 1], [19.5, 25, 0], [41.0, 25, 0], [41.0, 13.5, 1], [41.0, 0, 0], [0, 0, 0]]",2,[3780555 3780553],0
11,151.5,"[[0, 0, 0], [20.75, 0, 0], [20.75, 9.0, 1], [20.75, 0, 0], [39.0, 0, 0], [39.0, 12.0, 1], [39.0, 0, 0], [44.25, 0, 0], [44.25, 10.5, 1], [44.25, 0, 0], [0, 0, 0]]",2,[3780530 3780514],0
12,140.0,"[[0, 0, 0], [47.5, 0, 0], [47.5, 6.0, 1], [47.5, 0, 0], [42.25, 0, 0], [42.25, 16.5, 1], [42.25, 0, 0], [0, 0, 0]]",2,[3780504 3780505],0
13,138.5,"[[0, 0, 0], [19.5, 0, 0], [19.5, 21.0, 1], [19.5, 25, 0], [44.25, 25, 0], [44.25, 13.5, 1], [44.25, 6.0, 1], [44.25, 0, 0], [0, 0, 0]]",2,[3780503 3780481],0
14,102.0,"[[0, 0, 0], [19.5, 0, 0], [19.5, 21.0, 1], [19.5, 25, 0], [26, 25, 0], [26, 21.0, 1], [26, 0, 0], [0, 0, 0]]",2,[3780423 3780175],0
15,138.5,"[[0, 0, 0], [19.5, 0, 0], [19.5, 21.0, 1], [19.5, 21.0, 1], [19.5, 25, 0], [44.25, 25, 0], [44.25, 22.5, 1], [44.25, 21.0, 1], [44.25, 0, 0], [0, 0, 0]]",2,[3780173 3780138],0
16,125.5,"[[0, 0, 0], [19.5, 0, 0], [19.5, 21.0, 1], [19.5, 25, 0], [37.75, 25, 0], [37.75, 15.0, 1], [37.75, 0, 0], [0, 0, 0]]",2,[3780125 3780114],0
17,141.0,"[[0, 0, 0], [35.75, 0, 0], [35.75, 22.5, 1], [35.75, 25, 0], [45.5, 25, 0], [45.5, 19.5, 1], [45.5, 0, 0], [0, 0, 0]]",2,[3780084 3780087],0
