Wave_Number,Distance_Route,Chemins,Orders_Number,Total_Distance
51,112.5,"[[0, 0], [44.25, 0], [44.25, 12.0], [44.25, 0], [0, 0]]",1,2584.0
52,131.0,"[[0, 0], [47.5, 0], [47.5, 18.0], [47.5, 0], [0, 0]]",1,2584.0
53,83.5,"[[0, 0], [31.25, 0], [31.25, 10.5], [31.25, 0], [0, 0]]",1,2584.0
54,81.0,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 0], [0, 0]]",1,2584.0
55,110.0,"[[0, 0], [32.5, 0], [32.5, 22.5], [32.5, 0], [0, 0]]",1,2584.0
56,109.0,"[[0, 0], [41.0, 0], [41.0, 13.5], [41.0, 0], [0, 0]]",1,2584.0
57,102.0,"[[0, 0], [39.0, 0], [39.0, 12.0], [39.0, 0], [0, 0]]",1,2584.0
58,127.5,"[[0, 0], [20.75, 0], [20.75, 9.0], [20.75, 0], [44.25, 0], [44.25, 10.5], [44.25, 0], [0, 0]]",1,2584.0
59,81.0,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 0], [0, 0]]",1,2584.0
60,138.5,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 25], [44.25, 25], [44.25, 22.5], [44.25, 0], [0, 0]]",1,2584.0
61,138.5,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 25], [44.25, 25], [44.25, 21.0], [44.25, 0], [0, 0]]",1,2584.0
62,81.0,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 0], [0, 0]]",1,2584.0
63,94.0,"[[0, 0], [26, 0], [26, 21.0], [26, 0], [0, 0]]",1,2584.0
64,141.0,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 25], [45.5, 25], [45.5, 13.5], [45.5, 0], [0, 0]]",1,2584.0
65,105.5,"[[0, 0], [37.75, 0], [37.75, 15.0], [37.75, 0], [0, 0]]",1,2584.0
66,141.0,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 25], [45.5, 25], [45.5, 22.5], [45.5, 0], [0, 0]]",1,2584.0
67,138.5,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 25], [44.25, 25], [44.25, 6.0], [44.25, 0], [0, 0]]",1,2584.0
68,156.0,"[[0, 0], [15.25, 0], [15.25, 21.0], [15.25, 25], [19.5, 25], [19.5, 19.5], [19.5, 25], [31.25, 25], [31.25, 16.5], [31.25, 25], [39.0, 25], [39.0, 12.0], [39.0, 0], [0, 0]]",1,2584.0
69,115.5,"[[0, 0], [44.25, 0], [44.25, 13.5], [44.25, 0], [0, 0]]",1,2584.0
70,117.5,"[[0, 0], [42.25, 0], [42.25, 16.5], [42.25, 0], [0, 0]]",1,2584.0
71,107.0,"[[0, 0], [47.5, 0], [47.5, 6.0], [47.5, 0], [0, 0]]",1,2584.0
72,93.0,"[[0, 0], [34.5, 0], [34.5, 12.0], [34.5, 0], [0, 0]]",1,2584.0
0,132.0,"[[0, 0], [19.5, 0], [19.5, 21.0], [19.5, 25], [41.0, 25], [41.0, 15.0], [41.0, 0], [0, 0]]",2,2584.0
